bos,book,admitted,trial,lost,decision,card
profit,share,25,reported,fall,november,close
price,dollar,cut,low,50,demand,tuesday
card,south,consumer,future,fell,profit,sent
bank,financial,offer,deal,battle,rival,profit
executive,industry,admitted,york,senior,bid,agreed
economy,quarter,rate,growth,hope,fourth,talk
price,bank,house,rise,january,rate,increase
13,close,economic,share,2005,business,benefit
life,rate,cut,standard,policy,investment,2002
euro,share,target,french,rose,scotland,value
trade,leader,organisation,comment,recently,prime minister,prime
risk,attack,thursday,information,research,called,analyst
newspaper,competition,investment,union,title,sunday,announced
court,appeal,demand,profit,brought,dollar,brown
power,share,investment,offer,analyst,sale,13
deal,buy,12,cut,share,money,european
club,offer,money,agency,nation,spent,newspaper
quarter,growth,economy,fourth,performance,fell,summer
call,job,called,help,provide,investment,child
court,tax,control,legal,forced,production,investment
charge,court,authority,tax,business,drive,trial
agreed,foreign,pay,official,accused,2001,campaign
share,offer,film,decision,move,fell,television
project,stop,30,power,law,12,press
rate,bank,england,hold,economic,fell,sign
price,fear,fall,analyst,fell,remains,york
quarter,economy,growth,annual,data,figure,remains
target,economic,report,european,europe,economy,growth
record,trade,dollar,rose,foreign,policy,economic
2005,product,biggest,system,profit,potential,pressure
sale,profit,fell,version,product,competition,research
production,price,fear,demand,recent,due,analyst
france,euro,growth,profit,drive,customer,boost
dollar,euro,low,concern,record,thursday,friday
half,found,tax,health,cash,benefit,fund
re,cost,financial,analyst,claim,euro,short
appeal,court,fight,accused,agreed,law,earlier
quarter,demand,economy,october,fall,economic,fell
economy,rate,february,business,fell,bank,economic
sale,production,rival,february,cut,fell,meanwhile
customer,mobile,court,action,right,card,fight
rate,rise,election,growth,business,quarter,january
bank,rate,economy,strong,growth,analyst,move
tax,trade,rise,dollar,growth,2003,report
tax,action,value,warned,court,control,share
club,season,share,television,move,product,financial
offer,talk,london,bid,meeting,cash,meet
spending,cut,health,tax,nation,force,economic
bid,london,talk,biggest,situation,create,cash
card,decision,internet,phone,figure,start,2003
profit,pc,share,computer,december,deal,sale
union,buy,euro,forced,agency,matter,stop
agreed,trade,talk,hope,deal,european,reach
growth,rate,spending,consumer,quarter,economy,figure
profit,euro,sale,europe,2005,warned,net
united,buy,deal,include,20,share,break
sale,november,data,figure,street,rate,rise
trade,growth,figure,compared,remains,picture,organisation
share,buy,fund,offer,deal,fell,decided
job,growth,economy,main,rate,december,analyst
industry,international,profit,rival,city,11,line
deal,production,bid,access,buy,global,opportunity
site,rose,right,leading,100,giant,bill
admitted,force,official,2003,martin,provide,process
fund,deal,money,public,running,chief executive,currently
growth,economy,price,report,2005,global,economic
executive,charge,chief executive,sale,40,key,job
increase,business,agency,bid,buy,free,comment
sale,court,claimed,legal,main,wednesday,president
proposal,president,spending,security,rise,cost,cut
euro,family,share,analyst,spent,dollar,value
foreign,level,cash,dollar,standard,investment,thursday
french,range,investment,sold,free,come,house
bank,standard,united,biggest,create,board,agreed
club,share,offer,leading,deal,football,board
standard,bank,south,financial,share,london,economy
europe,growth,euro,industry,business,economy,labour
french,bank,name,dollar,amount,value,remain
rate,data,bank,economic,growth,recent,consumer
growth,france,consumer,spending,economic,fourth,quarter
15,recently,price,deal,business,short,create
power,project,demand,profit,led,rate,economy
euro,rate,growth,cost,2005,data,coming
court,bank,authority,legal,analyst,tax,sold
blair,leader,president,2005,business,issue,political
financial,senior,executive,forced,howard,held,office
evidence,court,statement,executive,health,martin,trial
economic,target,economy,europe,report,policy,level
champion,bank,event,share,industry,analyst,future
bid,phone,rate,experience,process,boost,25
growth,economy,quarter,short,annual,period,spending
executive,figure,profit,led,share,2003,compared
music,release,sale,profit,march,share,industry
family,chief executive,executive,life,card,cash,fight
deal,president,television,american,soon,create,forced
dollar,euro,low,trade,bank,monday,york
demand,quarter,economy,key,growth,january,hope
policy,economic,president,account,previous,friday,economy
investment,mobile,foreign,increase,growth,analyst,decision
bank,customer,association,amount,quarter,hand,south
share,trade,deal,control,analyst,authority,agency
dollar,tough,deal,euro,provide,boost,bid
tax,development,meeting,european,proposal,thursday,increase
bank,job,profit,fall,100,united,rise
bid,profit,price,target,national,compared,attempt
final,pay,benefit,fund,rise,level,money
rate,increase,rise,found,cost,seven,looking
project,power,agency,list,site,official,move
site,authority,policy,president,national,claim,press
economy,south,economic,2005,spending,job,industry
card,financial,south,demand,profit,sign,risk
february,growth,january,figure,fell,13,picture
video,product,price,experience,investment,list,target
sale,deal,financial,2005,profit,production,boost
french,economy,consumer,price,cost,spending,data
share,sale,public,list,technology,board,helped
deal,according,investment,talk,official,ahead,job
quarter,online,profit,leading,announced,fell,fourth
board,family,meeting,accused,result,decision,drive
official,agreed,admitted,senior,2002,manager,charge
profit,deal,business,sale,robert,cash,leading
press,stop,force,city,local,warned,pay
united,club,proposal,board,bid,investment,financial
share,tax,production,18,target,100,pay
court,analyst,production,legal,law,sunday,president
brown,international,support,nation,proposal,agreed,100
offer,close,friday,term,ago,economy,deal
cut,policy,annual,2002,2001,rate,life
child,product,tv,cut,benefit,senior,similar
claim,business,reach,buy,legal,cut,future
sale,euro,profit,rose,performance,biggest,european
bank,sale,court,accused,bid,legal,16
business,chief executive,executive,euro,following,industry,2005
control,gordon,senior,bid,september,attack,sold
bank,fund,court,tax,agreed,charge,report
