office,robert,weekend,project,film,release,york
film,war,star,child,2002,attack,movie
film,trial,rose,south,final,focus,story
film,actor,career,movie,award,role,martin
film,woman,york,production,career,director,experience
star,vote,series,television,battle,paul,special
family,series,tv,sale,didn,involved,force
house,authority,site,move,situation,fight,proposal
music,money,fund,help,industry,investment,tax
programme,music,friday,sunday,figure,move,appeal
film,award,life,thursday,british,actor,included
music,british,act,beat,single,club,following
record,school,2002,career,award,success,title
january,share,television,compared,fell,helped,stand
book,winner,paul,competition,tv,final,deal
music,star,executive,included,bos,step,eight
film,european,award,february,run,brought,admitted
record,charles,battle,helped,career,target,movie
film,office,taking,according,weekend,book,body
robert,actor,performance,role,star,remains,reason
film,production,tax,2003,council,law,due
story,popular,version,family,tv,played,programme
award,actor,choice,summer,national,take,experience
power,name,movie,real,sale,wrong,television
award,video,music,winner,title,taking,included
film,life,story,brown,right,short,date
don,television,war,tv,job,report,appeal
film,award,actor,star,british,role,martin
film,school,stage,played,star,london,television
award,charles,performance,key,music,actor,career
sale,york,london,picture,sold,champion,head
film,award,career,february,role,actor,martin
london,sold,buy,public,picture,amount,fear
found,seen,film,didn,accused,period,city
film,actor,star,picture,bring,choice,production
actor,due,star,released,information,past,film
film,actor,office,release,taking,director,charles
series,season,tv,summer,network,american,fell
family,tv,programme,huge,radio,television,remain
medium,tv,return,story,2001,series,february
music,school,industry,right,career,child,british
actor,star,film,school,career,movie,released
street,called,released,fan,support,music,issue
film,award,director,association,actor,paul,dollar
release,40,child,released,single,held,record
winner,award,book,life,robert,fourth,25
single,robert,book,include,british,create,child
national,film,third,taking,fourth,movie,total
award,film,british,ve,role,star,actor
star,actor,right,family,pay,president,film
performance,award,radio,music,martin,york,seven
award,film,movie,tv,compared,actor,seven
film,life,star,british,story,movie,actor
radio,single,music,40,fan,popular,buy
change,role,programme,production,idea,based,london
french,actor,york,message,school,family,award
picture,story,claimed,sold,star,remain,received
single,music,appeal,paul,live,biggest,record
50,rule,name,re,real,music,admitted
award,event,right,live,film,take,war
actor,york,ireland,doing,star,figure,film
film,event,ve,director,fund,support,nation
award,film,actor,winner,star,director,included
claimed,fell,fourth,13,take,40,project
award,event,star,13,live,act,single
film,dollar,award,name,decided,list,director
tv,list,television,rose,low,title,american
friday,house,monday,earlier,actor,vote,view
role,actor,film,book,video,award,american
film,music,story,production,hour,announced,party
film,director,south,received,charles,special,meanwhile
film,2002,card,major,found,called,2003
sale,name,spent,remains,annual,fund,hour
list,little,britain,television,radio,star,included
book,fourth,robert,child,award,life,actor
experience,council,special,child,personal,tv,national
film,stage,child,book,bring,story,production
figure,16,2003,13,newspaper,story,special
list,helped,john,sale,fourth,included,production
50,star,involved,released,record,bring,release
music,york,single,act,radio,list,party
film,family,take,authority,picture,release,story
wrong,sent,mobile,involved,view,phone,video
charles,40,dollar,sold,released,single,success
video,trial,local,name,tv,music,wrong
single,sold,cost,sale,profit,martin,fight
film,trial,movie,friday,court,book,release
role,film,award,american,success,performance,played
film,european,award,february,run,brought,admitted
film,movie,actor,martin,book,lead,role
film,production,saturday,family,music,television,story
film,office,movie,fourth,action,director,actor
role,course,special,18,stage,late,single
list,award,john,british,international,book,body
film,michael,life,february,career,personal,include
video,release,sold,film,sale,robert,martin
actor,found,trial,body,court,left,tv
film,award,return,winner,included,director,french
film,actor,office,release,taking,director,charles
award,tv,britain,little,office,martin,life
star,film,movie,french,newspaper,howard,reported
network,seen,business,16,similar,remain,rival
film,third,extra,short,brought,actor,book
award,beat,success,international,bit,ireland,winner
book,customer,release,series,16,13,remains
paul,tv,version,live,fan,performance,football
book,claim,evidence,brown,international,picture,message
video,production,injury,star,wrong,included,york
record,eight,released,re,ve,music,appeal
star,season,return,include,film,robert,13
message,sent,2002,late,child,previous,include
movie,film,weekend,version,taking,reach,office
network,programme,action,claim,legal,british,press
friday,following,star,act,record,sale,fourth
award,charge,despite,brown,involved,attack,stage
london,british,music,film,actor,stage,deal
award,film,international,director,profit,french,actor
award,network,recently,ensure,meanwhile,growing,list
trial,television,paul,remain,saturday,november,monday
film,life,story,brown,right,short,date
film,fear,list,live,television,actor,create
film,award,winner,included,standard,london,reason
network,series,television,take,newspaper,create,battle
injury,special,movie,star,actor,ensure,2002
award,international,french,beat,france,radio,music
director,music,winner,don,re,take,moment
film,create,book,series,robert,focus,picture
book,child,film,life,story,right,series
project,city,series,star,david,played,film
film,picture,political,conservative,past,international,martin
close,performance,wrong,story,york,received,fall
film,started,view,war,city,opportunity,american
actor,film,star,british,global,role,school
radio,agreed,50,television,york,howard,live
book,film,role,series,actor,martin,provide
star,final,actor,received,war,launch,test
lost,music,seven,25,leading,challenge,eight
film,war,fight,story,special,production,city
single,20,record,version,released,martin,sold
film,role,played,child,career,playing,star
trial,cost,potential,child,court,process,organisation
film,following,due,life,short,remains,course
provide,support,october,period,denied,career,city
annual,held,past,star,battle,vote,reason
digital,money,mp,report,public,television,spent
list,helped,john,sale,fourth,included,production
left,vote,winner,house,am,12,fourth
british,award,film,failed,lost,star,role
music,award,term,city,don,simply,street
award,south,bank,beat,tv,street,little
film,look,rule,extra,special,season,break
actor,star,extra,version,agreed,bbc news,taking
child,film,movie,tv,version,series,past
claim,record,video,court,music,star,appeal
event,summer,act,close,sunday,weekend,stage
film,award,director,actor,charles,dollar,career
information,short,friday,trying,spokesman,money,actor
star,newspaper,included,york,idea,15,south
office,award,film,movie,biggest,seen,concern
book,award,winner,found,director,process,included
stage,event,performance,held,20,music,weekend
stage,performance,role,return,film,book,bring
actor,star,book,movie,union,2001,november
film,thursday,movie,star,robert,press,project
film,star,british,actor,award,role,brought
music,industry,sale,euro,control,lost,business
local,action,device,involved,denied,wrong,weekend
sold,single,12,music,sale,bid,september
music,deal,cash,career,sport,tv,share
john,music,radio,bank,wale,thursday,idea
charles,music,brown,beat,compared,course,break
released,saturday,term,following,found,record,card
film,woman,series,book,movie,power,tv
film,book,line,director,authority,battle,child
single,music,released,fell,remains,decided,martin
film,actor,director,martin,charles,dollar,french
film,martin,included,played,brown,career,fall
meet,total,office,taking,fell,film,third
award,film,child,school,fan,television,vote
film,award,campaign,spent,picture,sent,special
court,film,child,star,2003,13,martin
film,role,hope,award,british,received,bbc news
actor,award,film,dollar,director,charles,half
television,child,march,tv,programme,health,compared
film,dollar,award,name,decided,list,director
single,success,fell,return,british,13,40
director,award,film,television,include,british,weekend
film,office,weekend,release,dollar,lead,taking
actor,child,performance,extra,stage,12,little
list,live,led,music,included,act,success
film,movie,boost,previous,foreign,office,biggest
john,vote,monday,actor,received,friday,house
event,sold,act,weekend,take,brown,annual
free,played,decided,paul,view,september,version
director,production,fell,french,included,york,2002
film,international,competition,war,movie,american,star
book,award,winner,popular,instead,family,national
film,euro,actor,france,newspaper,star,french
