howard,party,labour,tory,michael,election,family
election,blair,bill,name,tony blair,common,tony
party,leader,stand,mp,conservative,prime minister,prime
research,howard,hope,potential,concern,believe,offer
law,power,right,evidence,house,foreign,secretary
charles,howard,event,title,nation,leader,decision
mp,vote,association,standard,stand,denied,common
party,election,political,public,report,spent,amount
school,local,authority,child,previous,term,half
club,football,executive,match,stop,scotland,fan
party,call,rule,vote,information,labour,received
child,health,matter,power,england,experience,ensure
union,public,change,process,mp,united,monday
liberal democrat,liberal,democrat,100,cut,party,helped
wale,health,list,job,change,policy,england
party,received,quarter,political,conservative,liberal democrat,liberal
line,foreign,talk,control,move,process,benefit
party,leader,stand,mp,conservative,prime minister,prime
brown,extra,international,development,trade,chancellor,war
legal,blair,statement,street,war,question,mp
right,war,international,public,challenge,political,2001
secretary,newspaper,michael,office,leader,annual,make
howard,tory,vote,conservative,free,support,britain
labour,chancellor,cut,conservative,party,brown,economy
labour,stand,blair,decided,period,fear,mp
agency,system,mp,child,rule,warned,secretary
official,course,evidence,special,individual,involved,remain
business,using,technology,report,bring,challenge,opportunity
labour,howard,tory,party,election,campaign,didn
life,mp,meet,taking,report,right,child
view,party,newspaper,reported,british,robert,soon
chancellor,public,issue,situation,evidence,involved,mp
blair,brown,prime minister,prime,book,claim,don
blair,tory,labour,election,party,weekend,public
common,act,house,charge,meet,september,eight
bill,law,mp,decision,allow,legal,saying
school,executive,health,scotland,comment,hope,situation
vote,council,house,chairman,decision,british,process
book,brown,blair,stand,chancellor,mp,prime minister
mp,child,control,found,16,soon,date
local,election,council,tax,party,result,winning
labour,tory,conservative,election,leader,liberal democrat,vote
blair,question,policy,prime minister,prime,head,issue
right,wrong,french,force,denied,union,conservative
rule,office,right,legal,law,national,report
mp,industry,scotland,local,report,authority,evidence
act,mp,law,matter,simply,buy,free
howard,campaign,role,michael,election,party,conservative
view,party,newspaper,reported,british,robert,soon
scotland,allow,party,executive,decision,decided,vote
child,court,system,access,mp,family,right
party,election,senior,medium,figure,ensure,rival
campaign,labour,party,spent,conservative,election,figure
tory,local,conservative,association,howard,party,chairman
project,report,cost,agency,total,senior,spending
free,local,personal,england,health,agency,council
bill,act,political,rule,law,programme,hope
tax,brown,election,child,pay,rise,leader
tory,party,challenge,john,charles,vote,october
blair,tory,labour,election,party,weekend,public
legal,march,war,claim,street,statement,action
mp,common,device,martin,phone,using,mobile
blair,standard,labour,party,london,matter,war
election,weekend,monday,call,live,tony blair,blair
blair,prime minister,prime,labour,leader,issue,public
british,authority,ago,senior,denied,live,feel
blair,leader,london,process,step,prime minister,prime
minute,11,system,office,mp,found,decision
council,tax,increase,scotland,authority,local,figure
council,vote,list,sent,fear,city,form
stop,court,support,launched,challenge,local,close
liberal,prime minister,prime,form,labour,support,deal
liberal democrat,liberal,democrat,vote,conservative,howard,tory
course,project,investment,failed,found,executive,money
special,ensure,scotland,remain,family,bill,drive
tory,election,believe,britain,party,belief,huge
tax,tory,labour,spending,cut,election,party
trial,special,law,britain,september,attack,act
law,force,change,martin,hand,tory,current
tax,party,election,increase,tory,policy,labour
fear,trial,british,law,war,attack,right
blair,labour,prime minister,prime,chancellor,brown,term
brown,newspaper,prime minister,prime,blair,election,gordon
chancellor,brown,tax,blair,spending,rule,economic
information,act,public,tory,office,record,access
liberal democrat,liberal,democrat,tax,house,labour,party
support,compared,sunday,programme,remains,question,quarter
labour,party,spokesman,vote,mp,woman,political
chancellor,house,common,head,role,labour,look
release,right,charge,released,foreign,law,held
howard,system,cost,blair,tory,britain,party
school,office,britain,spokesman,issue,doing,british
house,power,law,trial,tory,secretary,decision
2001,future,cost,help,john,office,national
party,election,tax,tory,labour,liberal democrat,liberal
brown,labour,blair,election,role,key,tough
wale,job,action,cut,chancellor,gordon,provide
campaign,labour,brown,election,role,chancellor,mp
bill,change,value,agreed,act,family,form
law,leader,wrong,matter,potential,scotland,standard
labour,blair,party,election,leader,agreed,local
health,scotland,public,law,party,york,ireland
report,level,target,life,course,local,15
law,right,european,british,trial,act,legal
woman,party,pay,child,labour,vote,tax
tory,labour,blair,accused,economic,charles,fall
brown,gordon,free,hope,party,message,belief
following,leader,party,seven,september,released,chairman
tax,chancellor,election,brown,howard,tory,labour
brown,blair,chancellor,union,prime minister,prime,battle
tory,labour,bill,party,howard,tony blair,conservative
british,blair,foreign,chancellor,brown,bbc news,feel
act,david,public,fell,wrong,french,decided
18,mp,election,16,vote,tory,current
believe,office,london,board,moment,standard,comment
brown,chancellor,blair,labour,campaign,election,run
scotland,england,figure,increase,course,reason,attempt
evidence,trial,court,right,foreign,secretary,charge
election,issue,public,themselves,war,tory,party
president,blair,leader,european,europe,french,american
brown,election,labour,chancellor,claim,blair,gordon
card,tory,conservative,bill,party,howard,michael
boost,election,fell,authority,charles,liberal democrat,evidence
right,foreign,buy,tough,union,concern,increase
child,return,spokesman,family,decision,failed,act
tax,tory,labour,party,howard,bill,provide
stop,figure,comment,power,law,accused,act
scotland,change,evidence,global,control,agency,project
party,election,robert,policy,leader,london,public
increase,pay,business,job,tax,hour,rate
mp,six,held,extra,experience,fight,hour
election,labour,foreign,policy,campaign,michael,chancellor
french,force,national,situation,france,president,british
howard,matter,leader,charles,family,tory,statement
official,control,britain,wrong,chancellor,french,take
local,force,public,power,david,extra,amount
executive,decision,health,report,common,public,sign
access,court,child,legal,family,wrong,proposal
howard,party,election,conservative,tory,statement,issue
labour,brown,campaign,election,chancellor,event,gordon
prime minister,prime,blair,ahead,election,reason,public
british,released,sent,charles,claimed,war,foreign
party,mp,school,friday,doing,name,radio
job,secretary,fell,access,personal,meeting,radio
trial,house,secretary,evidence,howard,foreign,control
body,figure,organisation,data,office,proposal,view
union,choice,public,local,talk,meeting,pc
office,fund,reported,account,european,report,spending
britain,howard,tax,blair,wrong,failed,michael
party,list,legal,law,return,leader,system
bill,house,common,mp,power,control,law
prime minister,prime,tory,playing,election,issue,card
brown,labour,blair,election,role,key,tough
labour,vote,election,war,issue,event,liberal democrat
sport,school,child,tory,hour,club,stage
blair,talk,france,range,council,right,prime minister
question,vote,25,foreign,secretary,europe,european
tory,howard,party,vote,policy,control,leader
bill,mp,law,ensure,allow,brought,take
election,vote,16,matter,school,feel,life
brown,blair,labour,gordon,election,chancellor,book
union,executive,wednesday,meeting,proposal,bid,meet
chancellor,brown,tax,blair,spending,rule,economic
law,act,michael,denied,wale,sport,saturday
site,council,mp,legal,power,stop,development
brown,chancellor,election,labour,don,spending,rule
vote,election,labour,tory,liberal democrat,liberal,democrat
blair,comment,secretary,ve,labour,decision,bring
party,call,rule,spokesman,vote,political,information
cost,election,date,held,european,compared,vote
campaign,boost,tory,official,vote,thursday,late
union,choice,public,march,meeting,action,extra
evidence,london,council,family,john,held,authority
authority,tory,howard,local,political,control,role
right,britain,control,office,reason,step,policy
agency,mp,chief executive,executive,announced,job,child
nation,report,development,blair,brown,child,act
election,february,labour,report,blair,sunday,spokesman
tax,economy,labour,chancellor,increase,brown,tory
trial,law,held,release,right,foreign,south
election,vote,18,concern,party,compared,political
access,court,child,legal,family,wrong,proposal
war,spent,comment,friday,radio,bring,message
mp,labour,election,party,london,newspaper,stand
tax,tory,cut,howard,election,able,party
tax,howard,tory,cut,robert,decided,election
labour,howard,campaign,party,idea,concern,tory
house,blair,power,secretary,issue,mp,control
tory,foreign,trying,secretary,europe,change,vote
agency,system,cost,help,authority,provide,ensure
local,council,tax,cash,authority,brown,rise
woman,help,fund,access,organisation,25,late
health,test,howard,conservative,coming,policy,public
comment,tuesday,london,board,stand,bid,standard
union,choice,public,meeting,pc,local,march
labour,election,campaign,blair,party,battle,local
union,choice,public,local,talk,meeting,pc
winner,mp,prime minister,prime,public,vote,potential
brown,blair,labour,prime minister,prime,book,trying
question,vote,blair,europe,issue,union,tony blair
law,office,life,secretary,report,question,mp
blair,president,change,global,democrat,election,saying
council,labour,football,research,report,body,british
executive,right,standard,scotland,court,appeal,term
labour,tory,howard,street,fear,political,information
career,john,agency,secretary,major,child,led
council,tax,local,rise,level,wale,authority
brown,labour,gordon,chancellor,tax,conservative,britain
court,evidence,chancellor,house,system,right,support
brown,chancellor,election,labour,don,spending,rule
blair,woman,president,britain,london,street,war
labour,election,tory,party,press,howard,event
election,labour,prime minister,prime,brown,party,mp
rule,brown,euro,investment,chancellor,economic,growth
health,tory,britain,test,labour,six,ensure
report,mp,john,england,evidence,prime minister,prime
labour,election,chancellor,prime minister,prime,brown,blair
meeting,party,spokesman,newspaper,fight,chairman,held
job,cut,brown,chancellor,union,public,health
release,war,woman,party,international,appeal,television
labour,party,election,britain,fund,economic,david
sunday,prime minister,prime,blair,secretary,david,return
prime minister,prime,blair,chancellor,brown,book,mp
britain,howard,tax,blair,wrong,failed,michael
law,break,evidence,meet,wale,saturday,england
blair,secretary,line,remain,howard,bbc news,prime minister
law,foreign,secretary,appeal,trial,decision,wrong
wale,south,trying,centre,campaign,website,party
extra,future,rule,court,include,current,london
tory,howard,election,labour,britain,tax,policy
party,labour,annual,main,event,seen,break
card,secretary,charles,reported,bill,opportunity,david
labour,party,tory,website,campaign,election,spokesman
short,authority,system,drive,body,attempt,involved
health,union,legal,concern,job,called,executive
labour,campaign,tony blair,forward,tory,blair,tony
brown,chancellor,school,wednesday,gordon,book,included
law,right,secretary,trial,foreign,house,david
blair,report,demand,range,sign,date,project
labour,prime minister,prime,secretary,leader,british,chancellor
mp,bill,tony,support,labour,choice,proposal
tory,conservative,public,election,party,period,policy
bill,british,move,street,instead,eight,concern
law,howard,change,tory,force,martin,mp
blair,chancellor,book,brown,prime minister,prime,tory
card,howard,tory,decision,denied,labour,spokesman
brown,chancellor,past,britain,similar,nation,offer
concern,school,system,proposal,forward,recently,chairman
brown,election,tax,chancellor,labour,gordon,prime
life,50,bill,test,research,increase,current
woman,job,career,six,pay,trade,opportunity
labour,stand,blair,decided,period,fear,mp
election,party,vote,18,tax,concern,compared
chancellor,house,common,head,role,labour,look
deal,brown,nation,chancellor,gordon,fund,thursday
card,bill,fear,charles,fight,liberal,howard
council,research,key,economic,national,provide,body
view,change,authority,benefit,liberal,hour,local
tax,blair,tory,labour,howard,question,money
brown,chancellor,policy,financial,line,rise,wrong
tax,council,election,chancellor,brown,system,local
paul,south,labour,election,step,challenge,forward
council,share,local,buy,party,cost,extra
issue,choice,election,mp,ve,political,public
tax,council,bill,local,party,tory,increase
attack,election,target,blair,comment,house,security
target,wale,health,list,failed,12,current
ireland,right,mp,tory,strong,admitted,create
howard,mp,party,wale,tory,cut,special
information,body,act,public,provide,mp,health
party,labour,annual,main,event,seen,break
britain,sent,liberal democrat,liberal,democrat,trade,policy
party,vote,tax,election,labour,tory,liberal democrat
situation,british,force,blair,election,london,charles
party,tax,election,labour,conservative,increase,britain
street,led,law,appeal,chancellor,authority,special
bill,change,mp,political,law,claim,situation
